name,rating,reviews,industry,location,highly_rated,critically_rated
Siemens,3.9,5.6k,Industrial Automation,Bangalore / Bengaluru +152 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
CGI Group,4.0,5.5k,IT Services & Consulting,Bangalore / Bengaluru +44 other locations,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits"
Shapoorji Pallonji Group,4.1,5.5k,Engineering & Construction,Mumbai +188 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
BigBasket,3.9,5.5k,Internet,Bangalore / Bengaluru +137 other locations,Job Security,Promotions / Appraisal
Access Healthcare,3.7,5.5k,Healthcare,Chennai +61 other locations,Job Security,"Promotions / Appraisal, Skill Development / Learning"
ICICI Lombard General Insurance Company,3.5,5.5k,Insurance,Mumbai +310 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Manappuram Finance,3.9,5.5k,NBFC,Bangalore / Bengaluru +634 other locations,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",
Firstsource Solutions,3.5,5.5k,BPO,Bangalore / Bengaluru +71 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Standard Chartered,3.6,5.5k,Banking,Chennai +68 other locations,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
GlobalLogic,3.5,5.5k,IT Services & Consulting,Hyderabad / Secunderabad +60 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Apollo Hospitals,4.0,5.4k,Healthcare,Chennai +227 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Mahindra Finance,3.9,5.4k,NBFC,Mumbai +718 other locations,Work Life Balance,Promotions / Appraisal
UST,3.7,5.4k,IT Services & Consulting,Bangalore / Bengaluru +49 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security"
Bosch Global Software Technologies,3.8,5.4k,IT Services & Consulting,Bangalore / Bengaluru +47 other locations,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Ashok Leyland,4.1,5.3k,Automobile,Chennai +248 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
Citicorp,3.7,5.3k,Financial Services,Pune +67 other locations,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
PolicyBazaar,3.7,5.3k,Internet,Gurgaon / Gurugram +139 other locations,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction"
Cyient,3.6,5.2k,IT Services & Consulting,Hyderabad / Secunderabad +47 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Swiggy,3.7,5.2k,Internet,Bangalore / Bengaluru +227 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Hero MotoCorp,4.1,5.2k,Automobile,Gurgaon / Gurugram +362 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
JustDial,3.5,5k,Internet,Noida +226 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
SBI Cards & Payment Services,3.6,5k,Financial Services,Gurgaon / Gurugram +430 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Kalpataru Projects International,4.1,5k,Engineering & Construction,Mumbai +315 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
BNY,3.7,5k,Financial Services,Pune +25 other locations,"Company Culture, Work Life Balance","Promotions / Appraisal, Job Security"
IQVIA,3.7,5k,Clinical Research,Bangalore / Bengaluru +62 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
CBRE,4.1,4.9k,Real Estate,Hyderabad / Secunderabad +91 other locations,"Company Culture, Work Life Balance, Job Security",
SBI Life Insurance Company,3.7,4.9k,Insurance,Mumbai +645 other locations,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
NTT Data,3.8,4.9k,IT Services & Consulting,Bangalore / Bengaluru +77 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
TVS Motor,3.9,4.9k,Automobile,Hosur +344 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Nagarjuna Construction Company,4.1,4.9k,Engineering & Construction,Hyderabad / Secunderabad +290 other locations,"Job Security, Salary & Benefits, Company Culture",
vivo,4.1,4.8k,Consumer Electronics & Appliances,Noida +413 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Persistent Systems,3.6,4.8k,IT Services & Consulting,Pune +42 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Atos,3.8,4.8k,IT Services & Consulting,Pune +49 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
State Bank of India,3.8,4.8k,Banking,Mumbai +613 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
Eviden,3.6,4.8k,IT Services & Consulting,Pune +39 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Schneider Electric,4.1,4.8k,Industrial Automation,Bangalore / Bengaluru +118 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Ecom Express,4.0,4.7k,Logistics,Gurgaon / Gurugram +772 other locations,"Work Life Balance, Work Satisfaction, Salary & Benefits",
Amdocs,3.6,4.7k,Software Product,Pune +23 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Nagarro,3.9,4.7k,IT Services & Consulting,Gurgaon / Gurugram +49 other locations,"Company Culture, Work Life Balance",Promotions / Appraisal
KEC International,4.0,4.6k,Engineering & Construction,Mumbai +309 other locations,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
JBM Group,3.9,4.6k,Auto Components,Gurgaon / Gurugram +113 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Home Credit Finance,4.0,4.6k,NBFC,Gurgaon / Gurugram +135 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Varun Beverages,4.0,4.6k,Beverage,New Delhi +374 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Piramal Capital Housing Finance,4.2,4.5k,NBFC,Mumbai +383 other locations,"Company Culture, Skill Development / Learning, Salary & Benefits",
Bosch,4.2,4.5k,Auto Components,Bangalore / Bengaluru +124 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Hewlett Packard Enterprise,4.1,4.5k,IT Services & Consulting,Bangalore / Bengaluru +104 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
OPPO,3.9,4.5k,Consumer Electronics & Appliances,Greater Noida +407 other locations,Skill Development / Learning,"Promotions / Appraisal, Job Security"
EY Global Delivery Services ( EY GDS),3.5,4.5k,Accounting & Auditing,Bangalore / Bengaluru +55 other locations,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
ITC Infotech,3.7,4.4k,IT Services & Consulting,Bangalore / Bengaluru +67 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
