Serial_No,Brand,Product_Name,Price,Original_Price,Discount,Product_Link,Image_URL
84,Decathlon,WEDZE - Men Jacquard Beanie,₹599,"₹1,049",(43% off),https://www.ajio.com/decathlon-wedze--men-jacquard-beanie/p/702494137_mustard?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251112/u93D/6914bba5a470c5082f8a3184/decathlon_mustard_wedze_-_men_jacquard_beanie.jpg
85,ALAMOS,Men Pack of 2 Baseball Cap,₹500,₹999,(50% off),https://www.ajio.com/alamos-men-pack-of-2-baseball-cap/p/702021053_multi?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250725/dgNC/6883bc9d8bfb9009ac3aaaca/alamos_black%2C_white_men_pack_of_2_baseball_cap.jpg
86,Puma,Men Baseball Cap,₹599,₹999,(40% off),https://www.ajio.com/puma-men-baseball-cap/p/702044961_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250730/MNlF/688a543c8bfb9009ac4d85bb/puma_black_men_baseball_cap.jpg
87,ARMANI EXCHANGE,Organic Cotton Baseball Cap,"₹3,371","₹8,427",(60% off),https://www.ajio.com/armani-exchange-organic-cotton-baseball-cap/p/410369023_32574?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20230307/C9k7/64074e46aeb26924e3ad24be/armani_exchange_red_organic_cotton_baseball_cap.jpg
88,PERFORMAX,Men Geometric Print Buff,₹149,₹249,(40% off),https://www.ajio.com/performax-men-geometric-print-buff/p/442125078_multi?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240124/a8rD/65b0f64916fd2c6e6abd19be/performax_blue_men_geometric_print_buff.jpg
89,ARMANI EXCHANGE,Fur Bucket Hat with Logo Patch,"₹4,214","₹10,534",(60% off),https://www.ajio.com/armani-exchange-fur-bucket-hat-with-logo-patch/p/410394957_00035?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20230927/j5jW/65145022ddf77915190a447e/armani_exchange_black_fur_bucket_hat_with_logo_patch.jpg
90,Puma,Essentials Elevated Adjustable Baseball Cap,₹450,₹999,(55% off),https://www.ajio.com/puma-essentials-elevated-adjustable-baseball-cap/p/702428407_white?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251027/hKQR/68ff5968d3b48604f84d2483/puma_alpine_snow_essentials_elevated_adjustable_baseball_cap.jpg
91,YOUSTA,Men Cotton Baseball Cap,₹199,₹399,(50% off),https://www.ajio.com/yousta-men-cotton-baseball-cap/p/442747940_darkblue?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250410/vxPP/67f7bbe67a6cd4182fbc5fea/yousta_blue_men_cotton_baseball_cap.jpg
92,YOUSTA,Men Colourblock Cotton Baseball Cap,₹299,₹399,(25% off),https://www.ajio.com/yousta-men-colourblock-cotton-baseball-cap/p/442950534_olive?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250722/m5EO/687f862a6034bf77f0e755fb/yousta_olive_men_colourblock_cotton_baseball_cap.jpg
93,YOUSTA,Men Embroidered Acrylic Beanie,₹199,N/A,N/A,https://www.ajio.com/yousta-men-embroidered-acrylic-beanie/p/442971912_navy?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250909/eUXV/68c057663d468c61abde450c/yousta_navy_blue_men_embroidered_acrylic_beanie.jpg
94,Columbia,Men Beanie with Brand Embossed,"₹1,499",N/A,N/A,https://www.ajio.com/columbia-men-beanie-with-brand-embossed/p/467083065_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240925/O3Mx/66f40b53260f9c41e8279a27/columbia_black_men_beanie_with_brand_embossed.jpg
95,ARMANI EXCHANGE,Men Cotton Baseball Cap with Brand Applique,"₹3,500","₹6,999",(50% off),https://www.ajio.com/armani-exchange-men-cotton-baseball-cap-with-brand-applique/p/410498863_01519?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250709/Iv4l/686e6d31b13fc54edd0ccdd2/armani_exchange_white_men_cotton_baseball_cap_with_brand_applique.jpg
96,YOUSTA,Men Striped Knitted Beanie,₹199,N/A,N/A,https://www.ajio.com/yousta-men-striped-knitted-beanie/p/442971907_navy?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250909/KOC8/68c02db73d468c61abdaddfc/yousta_navy_blue_men_striped_knitted_beanie.jpg
97,Columbia,Unisex Striped Beanie with Upturn Hem,"₹1,999",N/A,N/A,https://www.ajio.com/columbia-unisex-striped-beanie-with-upturn-hem/p/701991703_beige?,
98,YOUSTA,Men Embroidered Baseball Cap,₹499,N/A,N/A,https://www.ajio.com/yousta-men-embroidered-baseball-cap/p/442952863_beige?,
99,Columbia,Unisex Knitted Reversible Beanie,"₹1,499",N/A,N/A,https://www.ajio.com/columbia-unisex-knitted-reversible-beanie/p/701991759_black?,
100,Bharatasya,Stretchable Self-Design Beanie Cap,₹329,₹699,(53% off),https://www.ajio.com/bharatasya--stretchable-self-design-beanie-cap/p/461579794_brown?,
101,ARMANI EXCHANGE,Men Baseball Cap with Brand Embroidery,"₹2,500","₹4,999",(50% off),https://www.ajio.com/armani-exchange-men-baseball-cap-with-brand-embroidery/p/410250921_00936?,
102,YOUSTA,Men Classic Beanie,₹199,N/A,N/A,https://www.ajio.com/yousta-men-classic-beanie/p/442971930_olive?,
103,Decathlon,KIPRUN - Women Caps,₹329,₹499,(34% off),https://www.ajio.com/decathlon-kiprun--women-caps/p/702229431_grey?,
104,Decathlon,FORCLAZ - Unisex Anti-UV Bucket Travel Hat,₹949,"₹1,499",(37% off),https://www.ajio.com/decathlon-forclaz--unisex-anti-uv-bucket-travel-hat/p/702234424_grey?,
105,Jockey,CP31 Super Combed Cotton Cap with Adjustable Back Closure,₹799,N/A,N/A,https://www.ajio.com/jockey-cp31-super-combed-cotton-cap-with-adjustable-back-closure/p/465744208_red?,
106,Decathlon,WEDZE - Men Jacquard Beanie,₹499,₹699,(29% off),https://www.ajio.com/decathlon-wedze--men-jacquard-beanie/p/702494145_blue?,
107,Navkar Crafts,Men Cable-Knit Winter Beanie Cap with Gloves & Mask,₹400,₹799,(50% off),https://www.ajio.com/navkar-crafts-men-cable-knit-winter-beanie-cap-with-gloves--mask/p/700962766_black?,
108,GAP,Men Logo Print Baseball Hat,"₹1,049","₹1,499",(30% off),https://www.ajio.com/gap-men-logo-print-baseball-hat/p/442758600_navy?,
109,French Accent,Wool Baseball Cap,₹675,"₹1,985",(66% off),https://www.ajio.com/french-accent-wool-baseball-cap/p/465144170_white?,
110,Aashirwad Crafts,Woolen Winter Beanie,₹300,₹599,(50% off),https://www.ajio.com/aashirwad-crafts-woolen-winter-beanie-/p/701440951_black?,
111,ASICS,Men Graphic Print Cap,"₹1,196","₹1,899",(37% off),https://www.ajio.com/asics-men-graphic-print-cap/p/702461962_white?,
112,Puma,Ferrari Race Motorsport Baseball Cap,"₹1,079","₹1,799",(40% off),https://www.ajio.com/puma-ferrari-race-motorsport-baseball-cap/p/701097318_black?,
113,Reebok,Brand Embroidered Cap,₹787,"₹1,311",(40% off),https://www.ajio.com/reebok-brand-embroidered-cap/p/460847972_black?,
114,YOUSTA,Men Colourblock Cotton Baseball Cap,₹299,₹399,(25% off),https://www.ajio.com/yousta-men-colourblock-cotton-baseball-cap/p/442950535_white?,
115,ASOS DESIGN,Soft Cap with Contrast Stitch,₹300,"₹1,499",(80% off),https://www.ajio.com/asos-design-soft-cap-with-contrast-stitch/p/469688174_washedgrey?,
116,Aashirwad Crafts,Woolen Winter Beanie,₹400,₹799,(50% off),https://www.ajio.com/aashirwad-crafts-woolen-winter-beanie--/p/701440958_brown?,
117,PERFORMAX,Logo Print Baseball Cap with Mesh Panel,₹300,₹599,(50% off),https://www.ajio.com/performax-logo-print-baseball-cap-with-mesh-panel/p/441294861_black?,
